Fecha	Hora1	NoVuelo	Matricula	Dia(int)	CodigoAeropuerto	Hora2	Fecha y hora
2018-01-01	 0:05:20	CM0143	HP1536	31	MPTO	00:50:00	2018-01-01 00:50:00
2018-01-01	 0:08:04	CM0445	HP1721	31	MPTO	00:52:00	2018-01-01 00:52:00
2018-01-01	 0:09:25	CM0227	HP1827	31	MPTO	00:54:00	2018-01-01 00:54:00
2018-01-01	 0:13:19	CM0305	HP1849	31	MPTO	01:12:00	2018-01-01 01:12:00
2018-01-01	 0:20:00	CM0266	HP1715	31	MPTO	01:03:00	2018-01-01 01:03:00
2018-01-01	 0:26:17	CM0473	HP1840	31	MPTO	01:11:00	2018-01-01 01:11:00
2018-01-01	 0:26:29	CM0713	HP1558	31	MPTO	00:45:00	2018-01-01 00:45:00
2018-01-01	 0:32:06	CM0158	HP1714	31	MPTO	01:16:00	2018-01-01 01:16:00
2018-01-01	 0:33:58	CM0158	HP1714	31	MPTO	01:16:00	2018-01-01 01:16:00
2018-01-01	 0:47:51	CM0310	HP1719	31	MPTO	01:31:00	2018-01-01 01:31:00
2018-01-01	 9:47:46	CM0209	HP1845	01	MPTO	10:33:00	2018-01-01 10:33:00
2018-01-01	 9:52:42	CM0453	HP1725	01	MPTO	10:37:00	2018-01-01 10:37:00
2018-01-01	 9:56:17	CM0758	HP1848	01	MPTO	10:41:00	2018-01-01 10:41:00
2018-01-01	 9:58:19	CM0126	HP1532	01	MPTO	10:42:00	2018-01-01 10:42:00
2018-01-01	10:03:59	CM0206	HP1724	01	MPTO	10:48:00	2018-01-01 10:48:00
2018-01-01	10:04:28	CM0204	HP1534	01	MPTO	10:47:00	2018-01-01 10:47:00
2018-01-01	10:05:49	CM0220	HP1712	01	MPTO	10:50:00	2018-01-01 10:50:00
2018-01-01	10:07:05	CM0220	HP1712	01	MPTO	10:50:00	2018-01-01 10:50:00
2018-01-01	10:08:01	P50532	HK-4454	01	MPTO	10:51:00	2018-01-01 10:51:00
2018-01-01	10:09:45	CM0338	HP1521	01	MPTO	10:50:00	2018-01-01 10:50:00
2018-01-01	10:15:32	CM0264	HP1536	01	MPTO	10:56:00	2018-01-01 10:56:00
2018-01-01	10:22:16	CM0764	HP1852	01	MPTO	11:07:00	2018-01-01 11:07:00
2018-01-01	10:25:22	CM0801	HP1728	01	MPTO	11:10:00	2018-01-01 11:10:00
2018-01-01	10:28:53	CM0806	HP1822	01	MPTO	11:12:00	2018-01-01 11:12:00
2018-01-01	10:34:37	CM0276	HP1837	01	MPTO	11:19:00	2018-01-01 11:19:00
2018-01-01	10:35:29	CM0495	HP1729	01	MPTO	11:19:00	2018-01-01 11:19:00
2018-01-01	10:35:34	CM0820	HP1722	01	MPTO	11:20:00	2018-01-01 11:20:00
2018-01-01	10:38:09	P50668	HK-4599	01	MPTO	11:22:00	2018-01-01 11:22:00
2018-01-01	10:38:40	CM0362	HP1826	01	MPTO	11:23:00	2018-01-01 11:23:00
2018-01-01	10:39:29	P50624	HK-4456	01	MPTO	11:24:00	2018-01-01 11:24:00
2018-01-01	10:42:04	CM0141	HP1540	01	MPTO	11:06:00	2018-01-01 11:06:00
2018-01-01	10:42:16	CM0872	HP1829	01	MPTO	11:26:00	2018-01-01 11:26:00
2018-01-01	10:42:33	CM0459	HP1522	01	MPTO	11:24:00	2018-01-01 11:24:00
2018-01-01	10:43:12	CM0421	HP1835	01	MPTO	11:26:00	2018-01-01 11:26:00
2018-01-01	10:51:18	CM0807	HP1821	01	MPTO	11:36:00	2018-01-01 11:36:00
2018-01-01	10:52:44	CM0650	HP1563	01	MPTO	11:37:00	2018-01-01 11:37:00
2018-01-01	10:55:26	CM0100	HP1823	31	MPTO	11:40:00	2018-01-01 11:40:00
2018-01-01	11:01:20	CM0284	HP1846	01	MPTO	11:43:00	2018-01-01 11:43:00
2018-01-01	11:52:59	CM0630	HP1562	01	MPTO	12:42:00	2018-01-01 12:42:00
2018-01-01	11:54:15	CM0702	HP1726	01	MPTO	12:39:00	2018-01-01 12:39:00
2018-01-01	11:59:32	CM0295	HP1520	01	MPTO	12:43:00	2018-01-01 12:43:00
2018-01-01	12:01:42	CM0173	HP1854	01	MPTO	12:46:00	2018-01-01 12:46:00
2018-01-01	12:02:23	CM0210	HP1853	01	MPTO	12:46:00	2018-01-01 12:46:00
2018-01-01	12:06:46	CM0174	HP1847	01	MPTO	12:49:00	2018-01-01 12:49:00
2018-01-01	12:06:50	CM0642	HP1531	01	MPTO	12:44:00	2018-01-01 12:44:00
2018-01-01	12:13:38	CM0658	HP1376	01	MPTO	12:57:00	2018-01-01 12:57:00
2018-01-01	12:15:38	CM0619	HP1566	01	MPTO	13:00:00	2018-01-01 13:00:00
2018-01-01	12:15:55	CM0303	HP1834	01	MPTO	12:48:00	2018-01-01 12:48:00
2018-01-01	12:17:25	CM0492	HP1720	01	MPTO	13:01:00	2018-01-01 13:01:00
2018-01-01	12:23:49	CM0300	HP1714	01	MPTO	13:09:00	2018-01-01 13:09:00
2018-01-01	12:24:19	CM0300	HP1714	01	MPTO	13:09:00	2018-01-01 13:09:00
2018-01-01	12:35:51	CM0154	HP1535	01	MPTO	13:15:00	2018-01-01 13:15:00
2018-01-01	13:23:51	CM0723	HP1559	01	MPTO	15:23:00	2018-01-01 15:23:00
2018-01-01	13:42:23	CM0193	HP1832	01	MPTO	14:22:00	2018-01-01 14:22:00
2018-01-01	13:44:34	CM0253	HP1833	01	MPTO	14:29:00	2018-01-01 14:29:00
2018-01-01	13:45:26	CM0193	HP1832	01	MPTO	14:22:00	2018-01-01 14:22:00
2018-01-01	13:52:05	CM0724	HP1824	01	MPTO	14:32:00	2018-01-01 14:32:00
2018-01-01	14:00:02	P50644	HK-4505	01	MPTO	14:37:00	2018-01-01 14:37:00
2018-01-01	14:01:10	CM0125	HP1727	01	MPTO	14:46:00	2018-01-01 14:46:00
2018-01-01	14:01:29	CM0491	HP1716	01	MPTO	14:46:00	2018-01-01 14:46:00
2018-01-01	14:02:40	P50644	HK-4505	01	MPTO	14:37:00	2018-01-01 14:37:00
2018-01-01	14:03:28	CM0389	HP1561	01	MPTO	15:02:00	2018-01-01 15:02:00
2018-01-01	14:04:23	CM0499	HP1557	01	MPTO	14:47:00	2018-01-01 14:47:00
2018-01-01	14:05:15	CM0267	HP1371	01	MPTO	14:49:00	2018-01-01 14:49:00
2018-01-01	14:10:56	CM0871	HP1569	01	MPTO	14:55:00	2018-01-01 14:55:00
